,type,reference,price,district,street,area,rooms,plant,lift,parking,description
0,Semi-detached,/en/inmueble/101611957/,"560,000€","['\n\n\n\n\n\n\nSemi-detached house in calle de Besalú', "" El Camp de l'Arpa del Clot"", ' Barcelona\n\n\n560', ""000€\n\n\n4 bed.\n208 m²\n\n\nLa Casa Agency presents an exceptional property for sale in the coveted neighborhood of Camp de l'Arpa.\nThis spacious residence is distributed over two floors and has a large terrace at the top"", ' making it an ideal option for those looking for a home in a privileged location.\nOn the ground floor']",calle de Besalú,208 m²,4 bed.,,,,"La Casa Agency presents an exceptional property for sale in the coveted neighborhood of Camp de l'Arpa.
This spacious residence is distributed over two floors and has a large terrace at the top, making it an ideal option for those looking for a home in a privileged location.
On the ground floor, t"
1,Flat,/en/inmueble/101357951/,"540,000€","[""\n\n\n\n\n\n\nFlat in calle de l'Hort de la Vila"", ' Sarrià', ' Barcelona\n\n\n540', '000€\n\n\n1 bed.\n65 m²\n3rd floor exterior with lift\n\n\nBrand new apartment for sale in Sarrià\nApartment of 63m2 built to deliver completely renovated. The property consists of a living room with integrated kitchen with a terrace of about 2m2. It has a double bedroom en suite with fitted closets and exterior to Hort de la Vila street. Parquet floors']",calle de l'Hort de la Vila,65 m²,1 bed.,3rd,with lift,,"Brand new apartment for sale in Sarrià
Apartment of 63m2 built to deliver completely renovated. The property consists of a living room with integrated kitchen with a terrace of about 2m2. It has a double bedroom en suite with fitted closets and exterior to Hort de la Vila street. Parquet floors, air"
2,Flat,/en/inmueble/101609480/,"460,000€","['\n\n\n\n\n\n\nFlat in Aragó', "" La Nova Esquerra de l'Eixample"", ' Barcelona\n\n\n460', '000€\nGarage optional 25', '000 €\n\n\n3 bed.\n120 m²\nMezzanine exterior with lift\n\n\nAndor Home offers you this property located on Aragó street', ' crossing Vilamarí street.\nIt has a built area of 120m2', ' distributed in two double rooms and one single room', ' 2 full bathrooms']",Aragó,120 m²,3 bed.,Mezzanine,lift,"Garage optional 25,000 €","Andor Home offers you this property located on Aragó street, crossing Vilamarí street.
It has a built area of 120m2, distributed in two double rooms and one single room, 2 full bathrooms, an independent office-style kitchen and a living-dining room facing the block patio. The property has two interi"
3,Flat,/en/inmueble/99993952/,"515,000€","[""\n\n\n\n\n\n\nFlat in calle d'Aragó"", ' La Sagrada Família', ' Barcelona\n\n\n515', '000€\nGarage optional 30', '000 €\n\n\n2 bed.\n115 m²\n1st floor interior with lift\n\n\nUpon accessing this apartment of almost 80 m2 and in perfect condition', ' we find a small entrance hall that leads to a modern', ' functional', ' independent', ' fully equipped kitchen and with access to a closed gallery ideal for storage.\nNext']",calle d'Aragó,115 m²,2 bed.,1st,with lift,"Garage optional 30,000 €","Upon accessing this apartment of almost 80 m2 and in perfect condition, we find a small entrance hall that leads to a modern, functional, independent, fully equipped kitchen and with access to a closed gallery ideal for storage.
Next, we see a spacious and cozy living room with direct access to a"
4,Flat,/en/inmueble/100663683/,"795,000€","['\n\n\n\n\n\n\nFlat in Passatge del Patriarca', ' El Gòtic', ' Barcelona\n\n\n795', '000€\n\n\n2 bed.\n109 m²\n3rd floor exterior with lift\n\n\nFully renovated', ' furnished apartment of 109 m² located on the third floor of a fully renovated building on Portal del Angel', ' with its entrance on Passatge Patriarca. It is at the heart of the Gothic neighbourhood', "" on one of the most popular shopping streets in the city. What's more""]",Passatge del Patriarca,109 m²,2 bed.,3rd,with lift,,"Fully renovated, furnished apartment of 109 m² located on the third floor of a fully renovated building on Portal del Angel, with its entrance on Passatge Patriarca. It is at the heart of the Gothic neighbourhood, on one of the most popular shopping streets in the city. What's more, the building boa"
5,Flat,/en/inmueble/98730212/,"1,055,000€","[""\n\n\n\n\n\n\nFlat in calle d'Ausiàs Marc"", "" La Dreta de l'Eixample"", ' Barcelona\n\n\n1', '055', '000€\n\n\n2 bed.\n130 m²\n2nd floor exterior with lift\n\n\nWe find this wonderful new property on the second floor of an ultra-modern building with properties designed by prestigious architect firm GCA Architects', ' combining new technology with a cutting-edge design. This is reflected in the exceptionally high quality finishes and materials used']",calle d'Ausiàs Marc,130 m²,2 bed.,2nd,with lift,,"We find this wonderful new property on the second floor of an ultra-modern building with properties designed by prestigious architect firm GCA Architects, combining new technology with a cutting-edge design. This is reflected in the exceptionally high quality finishes and materials used, including:"
6,Flat,/en/inmueble/101357923/,"540,000€","[""\n\n\n\n\n\n\nFlat in calle de l'Hort de la Vila"", ' Sarrià', ' Barcelona\n\n\n540']",calle de l'Hort de la Vila,65 m²,1 bed.,2nd,with lift,,"Refurbished apartment in the center of Sarrià
Apartment of 63m2 built to deliver completely renovated.  
The property consists of a living room with integrated kitchen with a terrace of about 2m2. It has a double bedroom en suite with fitted closets and exterior to Hort de la Vila street.  
Parquet"
7,Flat,/en/inmueble/89312621/,"1,699,000€","[""\n\n\n\n\n\n\nFlat in calle d'Anglí"", ' Les Tres Torres', ' Barcelona\n\n\n1', '699', ""000€\nParking included\n\n\n5 bed.\n229 m²\n5th floor exterior with lift\n\n\nModern 5-bedroom apartment located in the exclusive Tres Torres neighbourhood of Barcelona's Zona Alta. The property has been renovated to an excellent standard incorporating finishes of the highest quality to create an elegant home. \xa0\nWith a total of 5 bedrooms"", ' 4 of which are double rooms']",calle d'Anglí,229 m²,5 bed.,5th,with lift,Parking included,"Modern 5-bedroom apartment located in the exclusive Tres Torres neighbourhood of Barcelona's Zona Alta. The property has been renovated to an excellent standard incorporating finishes of the highest quality to create an elegant home.  
With a total of 5 bedrooms, 4 of which are double rooms, and 4"
8,Flat,/en/inmueble/100943302/,"652,500€","['\n\n\n\n\n\n\nFlat in calle de Pau Alsina', "" El Camp d'En Grassot i Gràcia Nova"", ' Barcelona\n\n\n652', '500€\n\n\n2 bed.\n80 m²\n1st floor exterior with lift\n\n\nLucas Fox presents Pau Alsina', ' an excellent development consisting of five homes in a completely renovated building', ' both inside and out', ' in the Gràcia neighbourhood', ' a highly sought-after area of Barcelona', ' next to Passeig de Sant Joan.\nThis home has a contemporary design with straight']",calle de Pau Als,80 m²,2 bed.,1st,with lift,,"Lucas Fox presents Pau Alsina, an excellent development consisting of five homes in a completely renovated building, both inside and out, in the Gràcia neighbourhood, a highly sought-after area of Barcelona, next to Passeig de Sant Joan.
This home has a contemporary design with straight, clean lin"
9,Flat,/en/inmueble/101304051/,"450,000€","['\n\n\n\n\n\n\nFlat in calle de Villarroel', "" L'Antiga Esquerra de l'Eixample"", ' Barcelona\n\n\n450', '000€\n\n\n3 bed.\n89 m²\n5th floor exterior with lift\n\n\nRefurbished and bright flat in Sant Antoni.\nFlat of 89 square metres. It consists of 3 bedrooms', ' one double and two singles', ' a bathroom', ' semi open kitchen']",calle de Villarroel,89 m²,3 bed.,5th,with lift,,"Refurbished and bright flat in Sant Antoni.
Flat of 89 square metres. It consists of 3 bedrooms, one double and two singles, a bathroom, semi open kitchen, laundry/pantry and large independent living-dining room with large windows with lots of natural light.
The property has been tastefully refurb"
