,type,reference,price,district,street,area,plant,lift,parking,description
0,Flat,/en/inmueble/101618369/,"847,500€","[""\n\nFlat in L'Antiga Esquerra de l'Eixample"", ' Barcelona\n\n\n847', '500€\n\n\n3 bed.\n163 m²\n4th floor exterior with lift\n\n\nABSTAIN AGENCIES', ' PLEASE.\nREAL PHOTOS', ' NOT A RENDER.""WORK FINISHED"".\nUnique 163 m2 apartment']",L'Antiga Esquerra de l'Eixample,163 m²,4th,with lift,,"ABSTAIN AGENCIES, PLEASE.
REAL PHOTOS, NOT A RENDER.""WORK FINISHED"".
Unique 163 m2 apartment, located in the heart of Barcelona in one of the most famous and representative streets and in a royal estate so typical and sought after in our city.
The apartment is completely renovated with luxury fin"
1,Flat,/en/inmueble/98269444/,"1,350,000€","['\n\n\n\n\n\n\nFlat in paseo de Garcia Fària', ' Diagonal Mar i el Front Marítim del Poblenou', ' Barcelona\n\n\n1', '350', '000€\nParking included\n\n\n3 bed.\n140 m²\n21st floor exterior with lift\n\n\nFlat for sale in Passeig de Garcia Faria', ' Illa de la llum\nThis fabulous property located on the 21st floor of the main building on the Illa de la Llum']",paseo de Garcia Fària,140 m²,21st,with lift,Parking included,"Flat for sale in Passeig de Garcia Faria, Illa de la llum
This fabulous property located on the 21st floor of the main building on the Illa de la Llum, enjoys first-class qualities and finishes. Its interior of 104m2 is distributed in a large living room of approximately 30m2 with access to the ter"
2,Flat,/en/inmueble/101223128/,"390,000€","['\n\n\n\n\n\n\nFlat in calle de la Marina', ' La Sagrada Família', ' Barcelona\n\n\n390', '000€\n\n\n2 bed.\n58 m²\n2nd floor exterior with lift\n\n\nRefurbished two bedroom apartment for sale close to Sagrada Familia\nCozy apartment located in Marina Street', ' in the Sagrada Familia area', ' renovated with the best finishes', ' in a building of 1964.\nThe property consists of 57m2 built', ' facing southeast']",calle de la Mar,58 m²,2nd,with lift,,"Refurbished two bedroom apartment for sale close to Sagrada Familia
Cozy apartment located in Marina Street, in the Sagrada Familia area, renovated with the best finishes, in a building of 1964.
The property consists of 57m2 built, facing southeast, exterior overlooking the Sagrada Familia and very"
3,Flat,/en/inmueble/100734648/,"2,200,000€","['\n\n\n\n\n\n\nFlat in calle de la Reina Victòria', ' Sant Gervasi - Galvany', ' Barcelona\n\n\n2', '200', '000€\nParking included\n\n\n5 bed.\n340 m²\n3rd floor exterior with lift\n\n\nApartment with terrace for sale in Turó Park\nIn one of the most sought after areas of the city', ' a few steps from the park', ' close to selected stores', ' exquisite restaurants and very well connected']",calle de la Re,340 m²,3rd,with lift,Parking included,"Apartment with terrace for sale in Turó Park
In one of the most sought after areas of the city, a few steps from the park, close to selected stores, exquisite restaurants and very well connected, we find this elegant and unique property totally exterior with terrace to renovate.
The property has a l"
4,Terraced,/en/inmueble/99271667/,"950,000€","['\n\n\n\n\n\n\nTerraced house in calle del Torrent de les Roses', ' Pedralbes', ' Barcelona\n\n\n950', '000€\n\n\n5 bed.\n150 m²\n\n\nSemi-detached house for sale in Pedralbes - Les Corts\nTwo-storey semi-detached house with gable roof', ' 150m2 in one of the quietest areas of Barcelona', ' within walking distance of prestigious schools and universities.\nThe house has two floors. On the first floor']",calle del Torrent de les Roses,150 m²,,,,"Semi-detached house for sale in Pedralbes - Les Corts
Two-storey semi-detached house with gable roof, 150m2 in one of the quietest areas of Barcelona, within walking distance of prestigious schools and universities.
The house has two floors. On the first floor, we find a living room with access to"
5,Flat,/en/inmueble/100611444/,"475,000€","['\n\n\n\n\n\n\nFlat in calle del Rosselló', "" El Camp de l'Arpa del Clot"", ' Barcelona\n\n\n475', ""000€\n\n\n3 bed.\n97 m²\n5th floor exterior with lift\n\n\n3-bedroom apartment with a terrace a few meters from Rogent Street\nLocated in the Camp de l'Arpa area"", ' near the Sagrada Familia', ' the Sant Pau hospital grounds and the newly rehabilitated area of Glories', ' a few meters from one of the most sought-after streets in the area']",calle del Rosselló,97 m²,5th,with lift,,"3-bedroom apartment with a terrace a few meters from Rogent Street
Located in the Camp de l'Arpa area, near the Sagrada Familia, the Sant Pau hospital grounds and the newly rehabilitated area of Glories, a few meters from one of the most sought-after streets in the area, we find this spacious apartm"
6,Flat,/en/inmueble/100335512/,"600,000€","[""\n\n\n\n\n\n\nFlat in calle de Sor Eulàlia d'Anzizu"", ' Pedralbes', ' Barcelona\n\n\n600', '000€\n\n\n3 bed.\n127 m²\n3rd floor exterior with lift\n\n\nBright', ' brand new renovated home!\nClikalia offers this 127 m2 exterior property for sale', ' ready to move into. It is located on the 3rd floor with a lift', "" on calle Sor Eulàlia d'Anzizu""]",calle de Sor Eulàlia d'Anzizu,127 m²,3rd,with lift,,"Bright, brand new renovated home!
Clikalia offers this 127 m2 exterior property for sale, ready to move into. It is located on the 3rd floor with a lift, on calle Sor Eulàlia d'Anzizu, in Pedralbes.
We are the owners of the house WE DO NOT CHARGE COMMISSION!
The house has 3 bedrooms with fitted w"
7,Flat,/en/inmueble/101608026/,"199,000€","['\n\n\n\n\n\n\nFlat in paseo de Fabra i Puig', ' Vilapicina i la Torre Llobeta', ' Barcelona\n\n\n199', '000€\n\n\n2 bed.\n62 m²\n3rd floor exterior with lift\n\n\nREF: jnb 199\n**** SCHEDULE YOUR VISIT TO WHATSAPP 6.6. 0.6. 3.7. 0.0. 4****\nOUTSIDE FLOOR WITH ELEVATOR AND BALCONY.\nIt is an EXTERIOR THIRD which has 62m² built', ' distributed in:\n- Living-dining room with access to a SPACIOUS AND SUNNY BALCONY (sun all day)\n- 2 rooms']",paseo de Fabra i Puig,62 m²,3rd,with lift,,"REF: jnb 199
**** SCHEDULE YOUR VISIT TO WHATSAPP 6.6. 0.6. 3.7. 0.0. 4****
OUTSIDE FLOOR WITH ELEVATOR AND BALCONY.
It is an EXTERIOR THIRD which has 62m² built, distributed in:
- Living-dining room with access to a SPACIOUS AND SUNNY BALCONY (sun all day)
- 2 rooms, both of them double. One ext"
8,Flat,/en/inmueble/100335491/,"270,000€","['\n\n\n\n\n\n\nFlat in Passatge de Garcia i Robles', ' La Salut', ' Barcelona\n\n\n270', '000€\n\n\n3 bed.\n74 m²\n1st floor exterior with lift\n\n\nClikalia presents this 74m2 renovated exterior property located on the 1st floor with elevator. Located in Passatge García i Robles', ' in the Salut neighborhood', ' Barcelona.\nWe are the owners of the house so WE DO NOT CHARGE COMMISSION!\nThe property consists of 3 bedrooms with fitted wardrobes']",Passatge de Garcia i Robles,74 m²,1st,with lift,,"Clikalia presents this 74m2 renovated exterior property located on the 1st floor with elevator. Located in Passatge García i Robles, in the Salut neighborhood, Barcelona.
We are the owners of the house so WE DO NOT CHARGE COMMISSION!
The property consists of 3 bedrooms with fitted wardrobes, a liv"
9,Flat,/en/inmueble/97158864/,"235,000€","['\n\n\n\n\n\n\nFlat in calle de la Mare de Déu del Remei', ' El Poble Sec - Parc de Montjuïc', ' Barcelona\n\n\n235', '000€\n\n\n3 bed.\n69 m²\n1st floor exterior with lift\n\n\nSecond floor apartment within a building with a lift built in 1936.\nApproximate built area extending to 50 sq. m.\nFeaturing stoneware floors. Comprising a hallway', ' a living room with a balcony', ' three bedrooms']",calle de la Mare de Déu del Remei,69 m²,1st,with lift,,"Second floor apartment within a building with a lift built in 1936.
Approximate built area extending to 50 sq. m.
Featuring stoneware floors. Comprising a hallway, a living room with a balcony, three bedrooms, a kitchen and a full bathroom.
This property is for sale via online auction and has a mini"
