,type,reference,price,district,street,area,plant,lift,parking,description
0,Flat,/en/inmueble/100751724/,"798,000€","['\n\n\n\n\n\n\nFlat in calle de Còrsega', ' La Sagrada Família', ' Barcelona\n\n\n798', '000€\n\n\n4 bed.\n120 m²\n2nd floor exterior with lift\n\n\nRoyal estate with views of Sagrada Família\nMagnificent apartment completely renovated in a regal building with a good presence in the heart of the Sagrada Família neighborhood. Close to public transport', ' and a few meters from the Basilica of the Sagrada Família']",calle de Còrsega,120 m²,2nd,with lift,,"Royal estate with views of Sagrada Família
Magnificent apartment completely renovated in a regal building with a good presence in the heart of the Sagrada Família neighborhood. Close to public transport, and a few meters from the Basilica of the Sagrada Família, Hospital de Sant Pau and Avinguda Gau"
1,Flat,/en/inmueble/100336389/,"200,000€","['\n\n\n\n\n\n\nFlat in calle de la Mare de Déu de Port', ' La Marina del Port', ' Barcelona\n\n\n200', '000€\n\n\n220', '000 €\n\n9%\n\n\n\n2 bed.\n86 m²\n2nd floor exterior with lift\n\n\nUnique brand new home!\nClikalia offers this renovated 86 m2 outdoor property for sale. It is located on the 2nd floor with a lift', ' on Mare de deu de Port street', ' in the Sants-Montjuïc district.\nWe are the owners of the house WE DO NOT CHARGE COMMISSION!\nThe apartment consists of 2 bedrooms']",calle de la Mare de Déu de Port,86 m²,2nd,with lift,,"Unique brand new home!
Clikalia offers this renovated 86 m2 outdoor property for sale. It is located on the 2nd floor with a lift, on Mare de deu de Port street, in the Sants-Montjuïc district.
We are the owners of the house WE DO NOT CHARGE COMMISSION!
The apartment consists of 2 bedrooms, a liv"
2,Flat,/en/inmueble/101618069/,"385,000€","[""\n\n\n\n\n\n\nFlat in La Dreta de l'Eixample"", ' Barcelona\n\n\n385', '000€\nParking included\n\n\n2 bed.\n71 m²\nGround floor exterior with lift\n\n\nWe present', ' a few minutes from Pº de Gracia and in the heart of the city of Barcelona', ' this little jewel of 60 m2', ' ready to move into. With lots of light and very quiet since it is a sixth floor high', ' the house has two bedrooms']",La Dreta de l'Eixample,71 m²,Ground,with lift,Parking included,"We present, a few minutes from Pº de Gracia and in the heart of the city of Barcelona, this little jewel of 60 m2, ready to move into. With lots of light and very quiet since it is a sixth floor high, the house has two bedrooms, one double in a suit format with a dressing room and another single. Pa"
3,Flat,/en/inmueble/100335886/,"425,000€","['\n\n\n\n\n\n\nFlat in Gran Via de les Corts Catalanes', ' El Fort Pienc', ' Barcelona\n\n\n425', '000€\n\n\n450', '000 €\n\n6%\n\n\n\n4 bed.\n90 m²\n7th floor exterior with lift\n\n\nHousing in excellent location!\nClikalia presents this exterior property under renovation of 90m2 located on the 7th floor with elevator. Located on Gran Vía de les Corts Catalanes street']",Gran Via de les Corts Catalanes,90 m²,7th,with lift,,"Housing in excellent location!
Clikalia presents this exterior property under renovation of 90m2 located on the 7th floor with elevator. Located on Gran Vía de les Corts Catalanes street, in the Fort Pienc neighborhood.
We are the owners of the house so WE DO NOT CHARGE COMMISSION!
The apartment"
4,Penthouse,/en/inmueble/98857881/,"299,000€","['\n\n\n\n\n\n\nPenthouse in plaza de las Navas', ' El Poble Sec - Parc de Montjuïc', ' Barcelona\n\n\n299', '000€\n\n\n3 bed.\n66 m²\n exterior without lift\n\n\nUpper-level', ' bright apartment in Plaza de las Navas\nThis bright apartment has a privileged location in Plaça de les Navas. Given its height on a sixth floor', ' the flat offers clear views and breathes tranquility and silence. Its 76m built are efficiently distributed in 3 bedrooms']",plaza de las Navas,66 m²,,,,"Upper-level, bright apartment in Plaza de las Navas
This bright apartment has a privileged location in Plaça de les Navas. Given its height on a sixth floor, the flat offers clear views and breathes tranquility and silence. Its 76m built are efficiently distributed in 3 bedrooms, kitchen-dining room"
5,Flat,/en/inmueble/96320466/,"310,000€","['\n\n\n\n\n\n\nFlat in calle de Miquel Àngel', ' Sants', ' Barcelona\n\n\n310']",calle de Miquel Àngel,74 m²,2nd,without lift,,"Cosy apartment by Can Mantega gardens
Engel & Völkers presents this beautiful apartment near the Can Mantega gardens with a balcony and double orientation. It is a comprehensive reform about. It is a building without elevator and without the possibility of installing it. It has two bedrooms and a ba"
6,Flat,/en/inmueble/100336618/,"355,000€","['\n\n\n\n\n\n\nFlat in calle de les Camèlies', ' El Baix Guinardó', ' Barcelona\n\n\n355', '000€\n\n\n365', '000 €\n\n3%\n\n\n\n3 bed.\n100 m²\n2nd floor exterior with lift\n\n\nUnique brand new home!\nClikalia offers this renovated 100 m2 exterior property for sale. It is located on the 2nd floor with elevator', ' in Carrer de les Camelies', ' in Guinardó.\nWe are the owners of the house WE DO NOT CHARGE COMMISSION!\nThis property is distributed in a hall']",calle de les Camèlies,100 m²,2nd,with lift,,"Unique brand new home!
Clikalia offers this renovated 100 m2 exterior property for sale. It is located on the 2nd floor with elevator, in Carrer de les Camelies, in Guinardó.
We are the owners of the house WE DO NOT CHARGE COMMISSION!
This property is distributed in a hall, a bright living-dining"
7,Flat,/en/inmueble/93179068/,"385,000€","['\n\n\n\n\n\n\nFlat in calle de Magalhães', ' El Poble Sec - Parc de Montjuïc', ' Barcelona\n\n\n385']",calle de Magalhães,62 m²,,,,"Fantastic renovation in Poble Sec
Apartment with high standing reform of 62 sqm with 1 bedroom (possibility of having a second room) in a building protected by the town hall. You enter the property through the large living room - dining room with open american kitchen with high ""volta catalana"" ceil"
8,Flat,/en/inmueble/101596687/,"331,000€","['\n\n\n\n\n\n\nFlat in calle del Parlament', ' Sant Antoni', ' Barcelona\n\n\n331', '000€\n\n\n346', '000 €\n\n4%\n\n\n\n4 bed.\n84 m²\n2nd floor interior without lift\n\n\nThis unfurnished flat is at Carrer del Parlament', ' 08015', ' Barcelona', ' Barcelona', "" is in the district of L'Eixample"", ' on floor 2. It is a sunny flat', ' built in 1900']",calle del Parlament,84 m²,2nd,without lift,,"This unfurnished flat is at Carrer del Parlament, 08015, Barcelona, Barcelona, is in the district of L'Eixample, on floor 2. It is a sunny flat, built in 1900, that has 84 m2 of which 63 m2 are useful and has 4 rooms and 1 bathrooms.
Watch the property's video at
It is interior property. It has fur"
9,Detached,/en/inmueble/87668823/,"2,650,000€","['\n\n\n\n\n\n\nDetached house in calle de les Alberes', ' Vallvidrera - El Tibidabo i les Planes', ' Barcelona\n\n\n2', '650']",calle de les Alberes,880 m²,,,Parking included,"Spectacular house in Vallvidrera Centre
This beautiful house of 800m2 approximately consists of two levels and a basement.
The ground floor has two entrances: the main access gives rise to a lobby reaching a large living room with fireplace and with access to covered terrace. A guest room with a sep"
