,type,reference,price,district,street,area,rooms,plant,lift,parking,description
0,Flat,/en/inmueble/97934037/,"1,200,000€","[""\n\n\n\n\n\n\nFlat in La Dreta de l'Eixample"", ' Barcelona\n\n\n1', '200', '000€\n\n\n4 bed.\n223 m²\n exterior with lift\n\n\nOn the main floor of a fully restored 1900 building with a valid\xa0 ITE (technical inspection) certificate', ' we find this fantastic home to renovate', ' ideal for creating a new home with large spaces and a 60 m² south-facing terrace according to the plans.\nCurrently']",La Dreta de l'Eixample,223 m²,4 bed.,,,,"On the main floor of a fully restored 1900 building with a valid  ITE (technical inspection) certificate, we find this fantastic home to renovate, ideal for creating a new home with large spaces and a 60 m² south-facing terrace according to the plans.
Currently, the apartment has four good-sized b"
1,Flat,/en/inmueble/99953283/,"440,000€","['\n\n\n\n\n\n\nFlat in calle del Camp', ' Sant Gervasi - Galvany', ' Barcelona\n\n\n440', '000€\n\n\n448', '000 €\n\n2%\n\n\n\n3 bed.\n90 m²\n1st floor exterior with lift\n\n\n90 sqm apartment built', ' according to cadastre', ' in one of the most sought after neighborhoods in Barcelona', ' San Gervasio', ' Galvany. It has a spacious living room with access to a balcony that overlooks Camp street', ' an independent kitchen and two complete bathrooms. It also has three bedrooms']",calle del Camp,90 m²,3 bed.,1st,with lift,,"90 sqm apartment built, according to cadastre, in one of the most sought after neighborhoods in Barcelona, San Gervasio, Galvany. It has a spacious living room with access to a balcony that overlooks Camp street, an independent kitchen and two complete bathrooms. It also has three bedrooms, one of w"
2,Penthouse,/en/inmueble/101154138/,"725,000€","[""\n\n\n\n\n\n\nPenthouse in calle d'Aragó"", "" La Dreta de l'Eixample"", ' Barcelona\n\n\n725', '000€\nParking included\n\n\n750', '000 €\n\n3%\n\n\n\n4 bed.\n135 m²\n6th floor interior with lift\n\n\nDuplex penthouse in Aragó street between Roger de Llúria i Bruc. The first floor consists of a spacious hall', ' a living room with access to a balcony', ' an independent kitchen with a utility room', ' a double bedroom with access to a second balcony']",calle d'Aragó,135 m²,4 bed.,6th,with lift,Parking included,"Duplex penthouse in Aragó street between Roger de Llúria i Bruc. The first floor consists of a spacious hall, a living room with access to a balcony, an independent kitchen with a utility room, a double bedroom with access to a second balcony, three single bedrooms and two complete bathrooms. On the"
3,Flat,/en/inmueble/99113286/,"1,095,000€","[""\n\n\n\n\n\n\nFlat in La Dreta de l'Eixample"", ' Barcelona\n\n\n1', '095', '000€\n\n\n4 bed.\n192 m²\n1st floor exterior with lift\n\n\nMagnificent home in a stately building']",La Dreta de l'Eixample,192 m²,4 bed.,1st,with lift,,"Magnificent home in a stately building, located on one of the most iconic avenues in Barcelona (Avenida Diagonal). It is located a few meters from Pau Claris Street and Paseo de Gracia. The property is located on the first floor of the building with access to a large private terrace and storage room"
4,Penthouse,/en/inmueble/101617808/,"460,000€","['\n\nPenthouse in calle Font den Fargas', ' 64', "" La Font d'En Fargues"", ' Barcelona\n\n\n460', '000€\n\n\n2 bed.\n66 m²\n3rd floor exterior with lift\n\n\nThis completed New Construction is located in the Horta Guinardo District', ' a few steps from the enormous Parc del Guinardo and a few meters from the Horta metro station', ' blue line L5. Close to it we find neighborhood market areas', ' supermarkets', ' leisure area', ' schools']",calle Font den Fargas,66 m²,2 bed.,3rd,with lift,,"This completed New Construction is located in the Horta Guinardo District, a few steps from the enormous Parc del Guinardo and a few meters from the Horta metro station, blue line L5. Close to it we find neighborhood market areas, supermarkets, leisure area, schools, transport and a multitude of ser"
5,Flat,/en/inmueble/100499881/,"1,200,000€","['\n\n\n\n\n\n\nFlat in Sarrià', ' Barcelona\n\n\n1', '200', '000€\nParking included\n\n\n4 bed.\n195 m²\n2nd floor exterior with lift\n\n\nThe property is located in a modern building from 1995', ' the work of the architect Carlos Ferrater', ' which has two elevators', ' a concierge service and community areas', ' as well as a garage on the same building', ' storage rooms and rooms for common use.\nThe property', ' which needs some small renovation']",Sarrià,195 m²,4 bed.,2nd,with lift,Parking included,"The property is located in a modern building from 1995, the work of the architect Carlos Ferrater, which has two elevators, a concierge service and community areas, as well as a garage on the same building, storage rooms and rooms for common use.
The property, which needs some small renovation,"
6,Flat,/en/inmueble/100420061/,"945,000€","[""\n\n\n\n\n\n\nFlat in L'Antiga Esquerra de l'Eixample"", ' Barcelona\n\n\n945', '000€\n\n\n3 bed.\n128 m²\n3rd floor exterior with lift\n\n\nThis bright apartment is located on the third floor of a fully refurbished property with a direct lift to the building. It is ready to move into']",L'Antiga Esquerra de l'Eixample,128 m²,3 bed.,3rd,with lift,,"This bright apartment is located on the third floor of a fully refurbished property with a direct lift to the building. It is ready to move into, since it is in perfect condition and fully equipped thanks to its recent renovation.
The layout of the property differentiates the day area from the nig"
7,Flat,/en/inmueble/99702055/,"1,149,000€","['\n\n\n\n\n\n\nFlat in La Vila Olímpica del Poblenou', ' Barcelona\n\n\n1', '149', '000€\nParking included\n\n\n3 bed.\n174 m²\n3rd floor exterior with lift\n\n\nLucas Fox is pleased to present this property with lots of natural light', ' thanks to its sunny aspect', ' for sale in Vila Olímpica', ' Barcelona', ' an exclusive location.\nIt is an apartment that consists of three bedrooms', ' two of them with private bathrooms']",La Vila Olímpica del Poblenou,174 m²,3 bed.,3rd,with lift,Parking included,"Lucas Fox is pleased to present this property with lots of natural light, thanks to its sunny aspect, for sale in Vila Olímpica, Barcelona, an exclusive location.
It is an apartment that consists of three bedrooms, two of them with private bathrooms, a guest toilet and a living-dining room with an"
8,Flat,/en/inmueble/100984200/,"1,250,000€","[""\n\n\n\n\n\n\nFlat in L'Antiga Esquerra de l'Eixample"", ' Barcelona\n\n\n1', '250', '000€\n\n\n3 bed.\n156 m²\n exterior with lift\n\n\nLucas Fox presents this brand new renovated apartment for sale with 154m2 and a 4m2 balcony', ' according to the plan.\nIt is located on the third floor of a period building with an lift built in the period of Catalan modernism. The apartment has a double orientation']",L'Antiga Esquerra de l'Eixample,156 m²,3 bed.,,,,"Lucas Fox presents this brand new renovated apartment for sale with 154m2 and a 4m2 balcony, according to the plan.
It is located on the third floor of a period building with an lift built in the period of Catalan modernism. The apartment has a double orientation, it has morning sun in the day are"
9,Flat,/en/inmueble/98682172/,"480,000€","[""\n\n\n\n\n\n\nFlat in calle d'Ataülf"", ' El Gòtic', ' Barcelona\n\n\n480', '000€\n\n\n3 bed.\n105 m²\n3rd floor exterior without lift\n\n\nExcellent renovated and bright apartment in Gotic\nFantastic renovated apartment in the Gothic Quarter', ' 105m2 on a second real floor and with three double bedrooms. The original elements such as windows and doors']",calle d'Ataülf,105 m²,3 bed.,3rd,without lift,,"Excellent renovated and bright apartment in Gotic
Fantastic renovated apartment in the Gothic Quarter, 105m2 on a second real floor and with three double bedrooms. The original elements such as windows and doors, hydraulic floors and crafted ceilings with wooden beams have been preserved. The distri"
